trialName,imageSize,batchSize,learningRate,weightDecay,numEpochs,earlyStoppingPatience,labelSmoothing,useClassWeights,baseChannels,stageBlockCounts,dropoutRate,useBatchNorm,bestEpoch,trainAccuracy,valAccuracy,testAccuracy,trainMacroF1,valMacroF1,testMacroF1
cnn_img192_anchor_wd2e4,192,24,0.0003,0.0002,130,26,0.0,True,32,"(2, 2, 2, 2)",0.2,True,116,0.9690063810391978,0.8612244897959184,0.8613445378151261,0.9727499025361853,0.8366118467051621,0.8559829821005925
cnn_img192_anchor,192,24,0.0003,0.0001,130,26,0.0,True,32,"(2, 2, 2, 2)",0.2,True,78,0.9653600729261622,0.8653061224489796,0.8571428571428571,0.9692573326420254,0.8359217031096996,0.8546570624838973
cnn_img192_anchor_lr2e4,192,24,0.0002,0.0001,130,26,0.0,True,32,"(2, 2, 2, 2)",0.2,True,75,0.9735642661804923,0.8530612244897959,0.8403361344537815,0.9762886411388448,0.8304647708123402,0.8446983571983573
cnn_img192_anchor_lr25e4,192,24,0.00025,0.0001,130,26,0.0,True,32,"(2, 2, 2, 2)",0.2,True,91,0.9608021877848678,0.8408163265306122,0.8403361344537815,0.9627427771344519,0.818914094573434,0.8417178758900782
cnn_img192_anchor_wd3e4,192,24,0.0003,0.0003,130,26,0.0,True,32,"(2, 2, 2, 2)",0.2,True,78,0.9653600729261622,0.8326530612244898,0.8277310924369747,0.967192867944534,0.8103954807180108,0.8264353720002925
cnn_img192_anchor_do010,192,24,0.0003,0.0001,130,26,0.0,True,32,"(2, 2, 2, 2)",0.1,True,84,0.9553327256153145,0.8326530612244898,0.8445378151260504,0.9564709363431435,0.8056571545910268,0.8493637505709498
cnn_img208_anchor_bs16_wd2e4,208,16,0.0003,0.0002,130,26,0.0,True,32,"(2, 2, 2, 2)",0.2,True,92,0.9535095715587967,0.8122448979591836,0.8445378151260504,0.9548635913810877,0.7988252497296736,0.8387589038074476
cnn_img192_mid40_bs20,192,20,0.0003,0.0001,130,26,0.0,True,40,"(2, 2, 2, 2)",0.2,True,116,0.9635369188696444,0.8244897959183674,0.8319327731092437,0.96537078317681,0.7949611793169619,0.8336438322399872
cnn_img208_anchor_bs16,208,16,0.0003,0.0001,130,26,0.0,True,32,"(2, 2, 2, 2)",0.2,True,107,0.9407474931631723,0.8081632653061225,0.8403361344537815,0.9430892452496966,0.7927859632129978,0.8369395148661397
cnn_img192_anchor_bs16_lr2e4,192,16,0.0002,0.0001,130,26,0.0,True,32,"(2, 2, 2, 2)",0.2,True,93,0.9525979945305378,0.8244897959183674,0.8319327731092437,0.9522389720183247,0.7903603439913768,0.8312973728700004
cnn_img192_anchor_do015,192,24,0.0003,0.0001,130,26,0.0,True,32,"(2, 2, 2, 2)",0.15,True,82,0.9134001823154057,0.7714285714285715,0.8235294117647058,0.9149502419205654,0.7477832787331212,0.8317544892730634
cnn_img192_mid40_bs20_wd2e4,192,20,0.0003,0.0002,130,26,0.0,True,40,"(2, 2, 2, 2)",0.2,True,42,0.8559708295350957,0.7755102040816326,0.7310924369747899,0.8521090858228555,0.7412167570062307,0.722875212372954
